Symbol,GICS Sector
HUM US Equity,Healthcare
IAC US Equity,Communication Services
IBM US Equity,Information Technology
ICE US Equity,Financials
IDXX US Equity,Healthcare
IFF US Equity,Materials
ILMN US Equity,Healthcare
INCY US Equity,Healthcare
INTC US Equity,Information Technology
INTU US Equity,Information Technology
IP US Equity,Materials
IPGP US Equity,Information Technology
IQV US Equity,Healthcare
IR US Equity,Industrials
IRM US Equity,Real Estate
ISRG US Equity,Healthcare
IT US Equity,Information Technology
ITT US Equity,Industrials
ITW US Equity,Industrials
IVZ US Equity,Financials
JBHT US Equity,Industrials
JBL US Equity,Information Technology
JCI US Equity,Industrials
JEC US Equity,Industrials
JEF US Equity,Financials
JNJ US Equity,Healthcare
JNPR US Equity,Information Technology
JPM US Equity,Financials
JWN US Equity,Consumer Discretionary
K US Equity,Consumer Staples
KBH US Equity,Consumer Discretionary
KDP US Equity,Consumer Staples
KIM US Equity,Real Estate
KLAC US Equity,Information Technology
KMB US Equity,Consumer Staples
KMI US Equity,Energy
KO US Equity,Consumer Staples
KR US Equity,Consumer Staples
KSS US Equity,Consumer Discretionary
KSU US Equity,Industrials
L US Equity,Financials
LB US Equity,Consumer Discretionary
LDOS US Equity,Information Technology
LEG US Equity,Consumer Discretionary
LEN US Equity,Consumer Discretionary
LEN/B US Equity,Industrials
LH US Equity,Healthcare
LLL US Equity,Industrials
LLY US Equity,Healthcare
LM US Equity,Financials
LMT US Equity,Industrials
LNC US Equity,Financials
LNT US Equity,Utilities
LOW US Equity,Consumer Discretionary
LRCX US Equity,Information Technology
LUV US Equity,Industrials
LYB US Equity,Materials
M US Equity,Consumer Discretionary
MA US Equity,Information Technology
MAA US Equity,Real Estate
MAC US Equity,Real Estate
MAR US Equity,Consumer Discretionary
MAS US Equity,Industrials
MCD US Equity,Consumer Discretionary
MCHP US Equity,Information Technology
MCK US Equity,Healthcare
MCO US Equity,Financials
MDLZ US Equity,Consumer Staples
MDP US Equity,Communication Services
MDT US Equity,Healthcare
MET US Equity,Financials
MHK US Equity,Consumer Discretionary
MKC US Equity,Consumer Staples
MLM US Equity,Materials
MMC US Equity,Financials
MMM US Equity,Industrials
MNK US Equity,Healthcare
MO US Equity,Consumer Staples
MOS US Equity,Materials
MPC US Equity,Energy
MRK US Equity,Healthcare
MRO US Equity,Energy
MS US Equity,Financials
MSCI US Equity,Financials
MSFT US Equity,Information Technology
MSI US Equity,Information Technology
